iter	Passed	Remaining
0	135	135314
1	136	67894
2	136	45394
3	137	34141
4	137	27388
5	138	22883
6	138	19667
7	139	17255
8	139	15377
9	140	13875
10	140	12646
11	141	11622
12	141	10754
13	142	10011
14	142	9369
15	143	8805
16	143	8308
17	144	7866
18	144	7469
19	145	7112
20	145	6789
21	146	6496
22	146	6227
23	147	5981
24	147	5754
25	148	5548
26	148	5354
27	149	5173
28	149	5005
29	149	4848
30	150	4701
31	150	4564
32	151	4435
33	151	4313
34	152	4199
35	152	4090
36	153	3988
37	153	3892
38	154	3800
39	154	3712
40	155	3629
41	155	3550
42	156	3474
43	156	3402
44	157	3333
45	157	3268
46	158	3204
47	158	3144
48	159	3086
49	159	3030
50	159	2976
51	160	2925
52	160	2875
53	161	2828
54	162	2783
55	162	2739
56	163	2697
57	163	2655
58	164	2615
59	164	2577
60	164	2539
61	165	2503
62	165	2468
63	166	2434
64	166	2401
65	167	2369
66	167	2338
67	168	2305
68	168	2276
69	169	2247
70	169	2219
71	170	2193
72	170	2167
73	171	2141
74	171	2116
75	172	2092
76	172	2068
77	173	2045
78	173	2023
79	174	2001
80	174	1980
81	175	1959
82	175	1939
83	176	1920
84	176	1899
85	176	1880
86	177	1860
87	177	1842
88	178	1824
89	178	1807
90	179	1790
91	179	1774
92	180	1757
93	180	1741
94	181	1726
95	181	1711
96	182	1696
97	182	1681
98	183	1667
99	183	1653
100	184	1639
101	184	1623
102	184	1610
103	185	1597
104	185	1584
105	186	1572
106	186	1559
107	187	1547
108	187	1535
109	188	1524
110	188	1512
111	189	1501
112	189	1490
113	190	1479
114	190	1469
115	191	1457
116	191	1447
117	192	1437
118	192	1426
119	193	1416
120	193	1407
121	194	1397
122	194	1386
123	194	1377
124	195	1368
125	195	1359
126	196	1350
127	196	1340
128	197	1331
129	197	1323
130	198	1315
131	198	1307
132	199	1298
133	199	1291
134	200	1283
135	200	1275
136	201	1267
137	201	1259
138	202	1252
139	202	1244
140	203	1238
141	203	1231
142	204	1224
143	204	1217
144	205	1210
145	205	1203
146	206	1197
147	206	1190
148	207	1183
149	207	1177
150	208	1170
151	208	1164
152	209	1158
153	209	1151
154	210	1145
